timestamp,open,low,high,close,volume,Code
2019-09-20,2170,2130,2200,2170,39142400,PGAS
2019-09-23,2190,2160,2290,2280,106775600,PGAS
2019-09-24,2280,2200,2290,2280,65080300,PGAS
2019-09-25,2250,2210,2300,2230,45997100,PGAS
2019-09-26,2230,2150,2260,2160,50702600,PGAS
2019-09-27,2120,2090,2210,2150,48487700,PGAS
2019-09-30,2160,2100,2180,2100,30565500,PGAS
2019-10-01,2100,2030,2120,2040,36385100,PGAS
2019-10-02,2020,2020,2110,2060,31344900,PGAS
2019-10-03,2050,2020,2090,2060,29721400,PGAS
2019-10-04,2060,2030,2120,2100,30098100,PGAS
2019-10-07,2120,2040,2140,2050,19212800,PGAS
2019-10-08,2020,2010,2070,2020,17941300,PGAS
2019-10-09,2020,1995,2030,2010,19609600,PGAS
2019-10-10,2040,2010,2090,2020,26725800,PGAS
2019-10-11,2060,2040,2220,2190,69654600,PGAS
2019-10-14,2210,2160,2220,2180,23101200,PGAS
2019-10-15,2200,2190,2260,2220,59400800,PGAS
2019-10-16,2250,2190,2250,2220,38279300,PGAS
2019-10-17,2240,2220,2260,2230,42140300,PGAS
2019-10-18,2220,2220,2270,2270,23942900,PGAS
2019-10-21,2280,2200,2290,2220,19516200,PGAS
2019-10-22,2220,2220,2270,2240,41053600,PGAS
2019-10-23,2250,2230,2340,2330,59663100,PGAS
2019-10-24,2350,2290,2360,2340,58353200,PGAS
2019-10-25,2350,2280,2350,2340,35124800,PGAS
2019-10-28,2340,2290,2370,2300,57426200,PGAS
2019-10-29,2330,2310,2360,2350,64718400,PGAS
2019-10-30,2360,2360,2460,2440,129324400,PGAS
2019-10-31,2270,2110,2280,2110,300114300,PGAS
2019-11-01,2090,1820,2120,1850,332234600,PGAS
2019-11-04,1890,1880,1990,1980,252342300,PGAS
2019-11-05,1985,1980,2050,1990,110557400,PGAS
2019-11-06,1995,1965,2010,1980,40168200,PGAS
2019-11-07,1990,1975,2010,1990,26566500,PGAS
2019-11-08,2000,1995,2030,2000,27925100,PGAS
2019-11-11,2020,1985,2020,2000,13196800,PGAS
2019-11-12,2020,2000,2020,2010,13786100,PGAS
2019-11-13,1995,1990,2010,1995,13413700,PGAS
2019-11-14,1990,1950,2000,1965,28756900,PGAS
2019-11-15,1960,1955,2000,2000,24148200,PGAS
2019-11-18,1995,1975,2020,1985,12670700,PGAS
2019-11-19,1980,1980,2020,2010,18867900,PGAS
2019-11-20,2000,1985,2010,1985,27413800,PGAS
2019-11-21,1975,1970,1990,1970,21406800,PGAS
2019-11-22,1980,1935,1985,1945,27923400,PGAS
2019-11-25,1920,1880,1940,1915,26110700,PGAS
2019-11-26,1935,1880,1935,1890,51745000,PGAS
2019-11-27,1905,1895,1965,1940,26938900,PGAS
2019-11-28,1925,1890,1945,1895,17017600,PGAS
2019-11-29,1860,1860,1925,1920,28263300,PGAS
2019-12-02,1925,1915,2000,2000,42497700,PGAS
2019-12-03,1985,1980,2060,2060,60369900,PGAS
2019-12-04,2030,2030,2130,2090,57186200,PGAS
2019-12-05,2120,2110,2210,2200,76858900,PGAS
2019-12-06,2200,2120,2200,2140,33375100,PGAS
2019-12-09,2140,2110,2170,2140,23946400,PGAS
2019-12-10,2130,2100,2150,2100,23821800,PGAS
2019-12-11,2120,2110,2180,2160,40900200,PGAS
2019-12-12,2180,2100,2180,2110,32180100,PGAS
2019-12-13,2120,2100,2150,2130,24338000,PGAS
2019-12-16,2140,2110,2160,2130,23816100,PGAS
2019-12-17,2140,2110,2150,2140,29335900,PGAS
2019-12-18,2140,2130,2190,2160,44001600,PGAS
2019-12-19,2160,2150,2180,2160,25633300,PGAS
2019-12-20,2160,2150,2190,2190,34737400,PGAS
2019-12-23,2200,2160,2200,2170,19756400,PGAS
2019-12-24,2200,2160,2200,2170,0,PGAS
2019-12-25,2200,2160,2200,2170,0,PGAS
2019-12-26,2190,2170,2200,2190,20650000,PGAS
2019-12-27,2190,2190,2260,2250,59014500,PGAS
2019-12-30,2250,2160,2250,2170,34735400,PGAS
2019-12-31,2250,2160,2250,2170,0,PGAS
2020-01-01,2250,2160,2250,2170,0,PGAS
2020-01-02,2170,2110,2180,2140,20783400,PGAS
2020-01-03,2140,2110,2160,2160,24049800,PGAS
2020-01-06,2160,2130,2200,2150,46296100,PGAS
2020-01-07,2120,2070,2140,2100,59205400,PGAS
2020-01-08,2080,2080,2120,2100,28479000,PGAS
2020-01-09,2120,2070,2130,2100,32457400,PGAS
2020-01-10,2120,2070,2120,2080,26998000,PGAS
2020-01-13,2090,2070,2100,2090,15791100,PGAS
2020-01-14,2080,2070,2120,2090,32691200,PGAS
2020-01-15,2090,2010,2100,2040,44648300,PGAS
2020-01-16,2040,2020,2070,2030,31412600,PGAS
2020-01-17,2060,2020,2060,2020,19358000,PGAS
2020-01-20,2040,1950,2040,1965,53652300,PGAS
2020-01-21,1950,1940,1980,1955,14857900,PGAS
2020-01-22,1955,1905,2000,1910,47647200,PGAS
2020-01-23,1930,1900,1935,1915,29497600,PGAS
2020-01-24,1915,1880,1930,1880,51592500,PGAS
2020-01-27,1880,1810,1880,1815,49087600,PGAS
2020-01-28,1800,1770,1830,1810,61800200,PGAS
2020-01-29,1820,1785,1845,1795,53926300,PGAS
2020-01-30,1805,1795,1840,1800,54175900,PGAS
2020-01-31,1810,1705,1820,1705,85530800,PGAS
2020-02-03,1680,1675,1725,1700,38058200,PGAS
2020-02-04,1700,1520,1710,1520,166404400,PGAS
2020-02-05,1530,1445,1585,1475,209517700,PGAS
2020-02-06,1500,1480,1540,1520,119388900,PGAS
2020-02-07,1520,1500,1555,1540,110802500,PGAS
2020-02-10,1530,1500,1535,1525,58728700,PGAS
2020-02-11,1540,1525,1560,1535,55085900,PGAS
2020-02-12,1540,1490,1545,1495,82712000,PGAS
2020-02-13,1495,1480,1525,1505,66759400,PGAS
2020-02-14,1505,1495,1520,1520,47548200,PGAS
2020-02-17,1520,1495,1525,1495,37343600,PGAS
2020-02-18,1495,1490,1520,1505,37718000,PGAS
